,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
1472,"Casa en Venta Toluca De Lerdo, México",235,2,3,125000,5,531.9148936170212
1473,"Casa en Venta Casa 2 Plantas
, Toluca De Lerdo, México",39,1,1,17900,2,458.97435897435895
1474,"Casa en Venta Miguel Hidalgo #00
, Toluca De Lerdo, México",180,4,3,63000,7,350
1475,"Casa en Venta Toluca De Lerdo, México",140,2,3,45205.5,5,322.89642857142854
1476,"Casa en Venta Genova
, San Mateo Oxtotitlán, Toluca De Lerdo",120,2,3,38213.5,5,318.4458333333333
1478,"Casa en Venta Villada #423
, Toluca De Lerdo, México",700,4,6,3500000,10,5000
1479,"Casa en Venta Girasol #00
, Toluca De Lerdo, México",125,2,3,63782.75,5,510.262
1480,"Casa en Venta Sta. Elena #1400
, Toluca De Lerdo, México",140,2,3,22640,5,161.71428571428572
1481,"Casa en Venta Girasol #00
, Toluca De Lerdo, México",125,2,3,63782.75,5,510.262
1483,"Casa en Venta Maria Curie #303
, Toluca De Lerdo, México",195,3,3,297275,6,1524.4871794871794
1484,"Casa en Venta Miguel Mata #209
, Toluca De Lerdo, México",260,2,3,48650,5,187.1153846153846
1485,"Casa en Venta Brigida Garcia #205
, Toluca De Lerdo, México",290,6,6,225000,12,775.8620689655172
1487,"Casa en Venta Silverio Perez #00
, Toluca De Lerdo, México",90,2,3,32910.6,5,365.6733333333333
1488,"Casa en Venta Nueva Santa María De Las Rosas, Toluca De Lerdo",200,2,4,195000,6,975
1492,"Casa en Venta Casa En Venta En San Lorenzo Tepaltitlan Al 730 Mil
, Toluca De Lerdo, México",84,2,2,36500,4,434.5238095238095
1493,"Casa en Venta Morada De Encino
, Tlacopa, Toluca De Lerdo",184,1,2,118108.5,3,641.8940217391304
1494,"Casa en Venta Villa Toscana
, San Mateo Otzacatipan, Toluca De Lerdo",130,1,2,55544,3,427.26153846153846
1495,"Casa en Venta Fraccionamiento La Galia
, San Pedro Totoltepec, Toluca De Lerdo",102,1,2,60935.7,3,597.4088235294117
1496,"Casa en Venta Miguel Hidalgo
, San Mateo Otzacatipan, Toluca De Lerdo",180,1,2,70120,3,389.55555555555554
1497,"Casa en Venta Miguel Hidalgo Al 100
, San Mateo Otzacatipan, Toluca De Lerdo",139,1,2,82114.1,3,590.7489208633094
